step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_detections,metrics/test.rmse_detections_pcutoff,metrics/test.rmse_pcutoff
201,,,,,4.4924585381522775e-05,0.04102714732289314,0.0010481409262865782,0.0010481409262865782,,,,,,
202,,,,,3.8969919842202216e-05,0.039224836975336075,0.001000105869024992,0.001000105869024992,,,,,,
203,,,,,4.0155249735107645e-05,0.03516649454832077,0.0008992399671114981,0.0008992399671114981,,,,,,
204,,,,,3.631752042565495e-05,0.03379388526082039,0.0008630059892311692,0.0008630059892311692,,,,,,
205,,,,,3.9028487663017586e-05,0.03141762688755989,0.0008049548487178981,0.0008049548487178981,,,,,,
206,,,,,3.737950828508474e-05,0.03013519197702408,0.000772069557569921,0.000772069557569921,,,,,,
207,,,,,3.5009219573112205e-05,0.02882186509668827,0.0007380513707175851,0.0007380513707175851,,,,,,
208,,,,,3.526933869579807e-05,0.027798151597380638,0.0007125883712433279,0.0007125883712433279,,,,,,
209,,,,,3.681569796754047e-05,0.026034969836473465,0.0006692821043543518,0.0006692821043543518,,,,,,
210,2.9245571568026207e-05,0.057524971663951874,0.001452747150324285,0.001452747150324285,3.52588904206641e-05,0.025652384385466576,0.0006589391850866377,0.0006589391850866377,96.0146943873954,97.00000000000001,6.652795314788818,6.652796268463135,3.5397017002105713,3.5397017002105713
211,,,,,3.3659172913758084e-05,0.025847850367426872,0.0006630258285440505,0.0006630258285440505,,,,,,
212,,,,,3.5827182728098705e-05,0.02486466057598591,0.0006395301898010075,0.0006395301898010075,,,,,,
213,,,,,3.145381197100505e-05,0.023389892652630806,0.0006004742463119328,0.0006004742463119328,,,,,,
214,,,,,3.295209535281174e-05,0.022407297044992447,0.0005766585236415267,0.0005766585236415267,,,,,,
215,,,,,3.5066612326772884e-05,0.02161862514913082,0.0005579990101978183,0.0005579990101978183,,,,,,
216,,,,,3.344647484482266e-05,0.022435113787651062,0.0005776010802946985,0.0005776010802946985,,,,,,
217,,,,,3.2203686714638025e-05,0.022377213463187218,0.0005755320889875293,0.0005755320889875293,,,,,,
218,,,,,3.5179542464902624e-05,0.020636947825551033,0.0005335134919732809,0.0005335134919732809,,,,,,
219,,,,,3.504944470478222e-05,0.020432977005839348,0.0005283491918817163,0.0005283491918817163,,,,,,
220,2.7758298529079184e-05,0.059878312051296234,0.0015108372317627072,0.0015108372317627072,2.9353943318710662e-05,0.02186426892876625,0.0005612837849184871,0.0005612837849184871,97.35969169672384,97.83333333333333,4.621600151062012,4.62160062789917,3.098940372467041,3.098940372467041
221,,,,,3.32287308992818e-05,0.019773220643401146,0.0005109449266456068,0.0005109449266456068,,,,,,
222,,,,,3.3088559575844556e-05,0.02031587064266205,0.0005244410713203251,0.0005244410713203251,,,,,,
223,,,,,2.976890937134158e-05,0.01856395974755287,0.0004789834492839873,0.0004789834492839873,,,,,,
224,,,,,3.140620901831426e-05,0.01830701343715191,0.00047337840078398585,0.00047337840078398585,,,,,,
225,,,,,2.80470685538603e-05,0.018543461337685585,0.00047761001042090356,0.00047761001042090356,,,,,,
226,,,,,3.41465201927349e-05,0.018189776688814163,0.00047181767877191305,0.00047181767877191305,,,,,,
227,,,,,2.9791501219733618e-05,0.016951432451605797,0.0004386815708130598,0.0004386815708130598,,,,,,
228,,,,,3.119745451840572e-05,0.01697019673883915,0.0004398536984808743,0.0004398536984808743,,,,,,
229,,,,,3.161897984682582e-05,0.016954604536294937,0.00043967468081973493,0.00043967468081973493,,,,,,
230,2.8996293622185476e-05,0.06476356089115143,0.0016335874097421765,0.0016335874097421765,2.901237348851282e-05,0.016019299626350403,0.0004149886954110116,0.0004149886954110116,97.63884437352954,98.16666666666667,4.524683952331543,4.524683952331543,2.842740774154663,2.842740774154663
231,,,,,2.856309038179461e-05,0.016783514991402626,0.0004338694561738521,0.0004338694561738521,,,,,,
232,,,,,2.7374911951483227e-05,0.015521015971899033,0.00040171286673285067,0.00040171286673285067,,,,,,
233,,,,,2.8760887289536186e-05,0.015457866713404655,0.0004008271498605609,0.0004008271498605609,,,,,,
234,,,,,2.7419177058618516e-05,0.016371378675103188,0.00042299399501644075,0.00042299399501644075,,,,,,
235,,,,,2.633310759847518e-05,0.015842396765947342,0.00040922651533037424,0.00040922651533037424,,,,,,
236,,,,,3.0372970286407508e-05,0.015870191156864166,0.0004119413497392088,0.0004119413497392088,,,,,,
237,,,,,2.596278500277549e-05,0.015062396414577961,0.0003895412664860487,0.0003895412664860487,,,,,,
238,,,,,2.694174872885924e-05,0.01432707067579031,0.0003716476203408092,0.0003716476203408092,,,,,,
239,,,,,2.736111855483614e-05,0.014128369279205799,0.0003668898716568947,0.0003668898716568947,,,,,,
